"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"A156","Tuberculous pleurisy",1,"Tuberculosis"
"A157","Primary respiratory tuberculosis",1,"Tuberculosis"
"A158","Other respiratory tuberculosis",1,"Tuberculosis"
"A159","Respiratory tuberculosis unspecified",1,"Tuberculosis"
"A170","Tuberculous meningitis",1,"Tuberculosis"
"A171","Meningeal tuberculoma",1,"Tuberculosis"
"A1781","Tuberculoma of brain and spinal cord",1,"Tuberculosis"
"A1782","Tuberculous meningoencephalitis",1,"Tuberculosis"
"A1783","Tuberculous neuritis",1,"Tuberculosis"
"A1789","Other tuberculosis of nervous system",1,"Tuberculosis"
"A179","Tuberculosis of nervous system, unspecified",1,"Tuberculosis"
"A1801","Tuberculosis of spine",1,"Tuberculosis"
"A1802","Tuberculous arthritis of other joints",1,"Tuberculosis"
"A1803","Tuberculosis of other bones",1,"Tuberculosis"
"A1809","Other musculoskeletal tuberculosis",1,"Tuberculosis"
"A1810","Tuberculosis of genitourinary system, unspecified",1,"Tuberculosis"
"A1811","Tuberculosis of kidney and ureter",1,"Tuberculosis"
"A1812","Tuberculosis of bladder",1,"Tuberculosis"
"A1813","Tuberculosis of other urinary organs",1,"Tuberculosis"
"A1814","Tuberculosis of prostate",1,"Tuberculosis"
"A1815","Tuberculosis of other male genital organs",1,"Tuberculosis"
"A1816","Tuberculosis of cervix",1,"Tuberculosis"
"A1817","Tuberculous female pelvic inflammatory disease",1,"Tuberculosis"
"A1818","Tuberculosis of other female genital organs",1,"Tuberculosis"
"A182","Tuberculous peripheral lymphadenopathy",1,"Tuberculosis"
"A1831","Tuberculous peritonitis",1,"Tuberculosis"
"A1832","Tuberculous enteritis",1,"Tuberculosis"
"A1839","Retroperitoneal tuberculosis",1,"Tuberculosis"
"A184","Tuberculosis of skin and subcutaneous tissue",1,"Tuberculosis"
"A1850","Tuberculosis of eye, unspecified",1,"Tuberculosis"
"A1851","Tuberculous episcleritis",1,"Tuberculosis"
"A1852","Tuberculous keratitis",1,"Tuberculosis"
"A1853","Tuberculous chorioretinitis",1,"Tuberculosis"
"A1854","Tuberculous iridocyclitis",1,"Tuberculosis"
"A1859","Other tuberculosis of eye",1,"Tuberculosis"
"A186","Tuberculosis of (inner) (middle) ear",1,"Tuberculosis"
"A187","Tuberculosis of adrenal glands",1,"Tuberculosis"
"A1881","Tuberculosis of thyroid gland",1,"Tuberculosis"
"A1882","Tuberculosis of other endocrine glands",1,"Tuberculosis"
"A1883","Tuberculosis of digestive tract organs, not elsewhere classified",1,"Tuberculosis"
"A1884","Tuberculosis of heart",1,"Tuberculosis"
"A1885","Tuberculosis of spleen",1,"Tuberculosis"
"A1889","Tuberculosis of other sites",1,"Tuberculosis"
"A190","Acute miliary tuberculosis of a single specified site",1,"Tuberculosis"
"A191","Acute miliary tuberculosis of multiple sites",1,"Tuberculosis"
"A192","Acute miliary tuberculosis, unspecified",1,"Tuberculosis"
"A198","Other miliary tuberculosis",1,"Tuberculosis"
"A199","Miliary tuberculosis, unspecified",1,"Tuberculosis"
"A200","Bubonic plague",3,"Bacterial infection; unspecified site"
"A201","Cellulocutaneous plague",197,"Skin and subcutaneous tissue infections"
"A202","Pneumonic plague",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A203","Plague meningitis",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A207","Septicemic plague",2,"Septicemia (except in labor)"
"A208","Other forms of plague",3,"Bacterial infection; unspecified site"
"A209","Plague, unspecified",3,"Bacterial infection; unspecified site"
"A210","Ulceroglandular tularemia",197,"Skin and subcutaneous tissue infections"
"A211","Oculoglandular tularemia",90,"Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)"
"A212","Pulmonary tularemia",122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
"A213","Gastrointestinal tularemia",135,"Intestinal infection"
"A217","Generalized tularemia",3,"Bacterial infection; unspecified site"
