"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"O139","Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1400","Mild to moderate pre-eclampsia, unspecified trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1402","Mild to moderate pre-eclampsia, second trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1403","Mild to moderate pre-eclampsia, third trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1404","Mild to moderate pre-eclampsia, complicating childbirth",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1405","Mild to moderate pre-eclampsia, complicating the puerperium",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1410","Severe pre-eclampsia, unspecified trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1412","Severe pre-eclampsia, second trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1413","Severe pre-eclampsia, third trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1414","Severe pre-eclampsia complicating childbirth",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1415","Severe pre-eclampsia, complicating the puerperium",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1420","HELLP syndrome (HELLP), unspecified trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1422","HELLP syndrome (HELLP), second trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1423","HELLP syndrome (HELLP), third trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1424","HELLP syndrome, complicating childbirth",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1425","HELLP syndrome, complicating the puerperium",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1490","Unspecified pre-eclampsia, unspecified trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1492","Unspecified pre-eclampsia, second trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1493","Unspecified pre-eclampsia, third trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1494","Unspecified pre-eclampsia, complicating childbirth",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1495","Unspecified pre-eclampsia, complicating the puerperium",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1500","Eclampsia complicating pregnancy, unspecified trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1502","Eclampsia complicating pregnancy, second trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O1503","Eclampsia complicating pregnancy, third trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O151","Eclampsia complicating labor",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O152","Eclampsia complicating the puerperium",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O159","Eclampsia, unspecified as to time period",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O161","Unspecified maternal hypertension, first trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O162","Unspecified maternal hypertension, second trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O163","Unspecified maternal hypertension, third trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O164","Unspecified maternal hypertension, complicating childbirth",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O165","Unspecified maternal hypertension, complicating the puerperium",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O169","Unspecified maternal hypertension, unspecified trimester",183,"Hypertension complicating pregnancy; childbirth and the puerperium"
"O200","Threatened abortion",182,"Hemorrhage during pregnancy; abruptio placenta; placenta previa"
"O208","Other hemorrhage in early pregnancy",182,"Hemorrhage during pregnancy; abruptio placenta; placenta previa"
"O209","Hemorrhage in early pregnancy, unspecified",182,"Hemorrhage during pregnancy; abruptio placenta; placenta previa"
"O210","Mild hyperemesis gravidarum",181,"Other complications of pregnancy"
"O211","Hyperemesis gravidarum with metabolic disturbance",181,"Other complications of pregnancy"
"O212","Late vomiting of pregnancy",181,"Other complications of pregnancy"
"O218","Other vomiting complicating pregnancy",181,"Other complications of pregnancy"
"O219","Vomiting of pregnancy, unspecified",181,"Other complications of pregnancy"
"O2200","Varicose veins of lower extremity in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2201","Varicose veins of lower extremity in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2202","Varicose veins of lower extremity in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2203","Varicose veins of lower extremity in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2210","Genital varices in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2211","Genital varices in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2212","Genital varices in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2213","Genital varices in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2220","Superficial thrombophlebitis in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2221","Superficial thrombophlebitis in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2222","Superficial thrombophlebitis in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2223","Superficial thrombophlebitis in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2230","Deep phlebothrombosis in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2231","Deep phlebothrombosis in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2232","Deep phlebothrombosis in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2233","Deep phlebothrombosis in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2240","Hemorrhoids in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2241","Hemorrhoids in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2242","Hemorrhoids in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2243","Hemorrhoids in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2250","Cerebral venous thrombosis in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2251","Cerebral venous thrombosis in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2252","Cerebral venous thrombosis in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2253","Cerebral venous thrombosis in pregnancy, third trimester",181,"Other complications of pregnancy"
"O228X1","Other venous complications in pregnancy, first trimester",181,"Other complications of pregnancy"
"O228X2","Other venous complications in pregnancy, second trimester",181,"Other complications of pregnancy"
"O228X3","Other venous complications in pregnancy, third trimester",181,"Other complications of pregnancy"
"O228X9","Other venous complications in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2290","Venous complication in pregnancy, unspecified, unspecified trimester",181,"Other complications of pregnancy"
"O2291","Venous complication in pregnancy, unspecified, first trimester",181,"Other complications of pregnancy"
"O2292","Venous complication in pregnancy, unspecified, second trimester",181,"Other complications of pregnancy"
"O2293","Venous complication in pregnancy, unspecified, third trimester",181,"Other complications of pregnancy"
"O2300","Infections of kidney in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2301","Infections of kidney in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2302","Infections of kidney in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2303","Infections of kidney in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2310","Infections of bladder in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2311","Infections of bladder in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2312","Infections of bladder in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2313","Infections of bladder in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2320","Infections of urethra in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2321","Infections of urethra in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2322","Infections of urethra in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2323","Infections of urethra in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2330","Infections of other parts of urinary tract in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2331","Infections of other parts of urinary tract in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2332","Infections of other parts of urinary tract in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2333","Infections of other parts of urinary tract in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2340","Unspecified infection of urinary tract in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2341","Unspecified infection of urinary tract in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2342","Unspecified infection of urinary tract in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2343","Unspecified infection of urinary tract in pregnancy, third trimester",181,"Other complications of pregnancy"
"O23511","Infections of cervix in pregnancy, first trimester",181,"Other complications of pregnancy"
"O23512","Infections of cervix in pregnancy, second trimester",181,"Other complications of pregnancy"
"O23513","Infections of cervix in pregnancy, third trimester",181,"Other complications of pregnancy"
"O23519","Infections of cervix in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O23521","Salpingo-oophoritis in pregnancy, first trimester",181,"Other complications of pregnancy"
"O23522","Salpingo-oophoritis in pregnancy, second trimester",181,"Other complications of pregnancy"
"O23523","Salpingo-oophoritis in pregnancy, third trimester",181,"Other complications of pregnancy"
"O23529","Salpingo-oophoritis in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O23591","Infection of other part of genital tract in pregnancy, first trimester",181,"Other complications of pregnancy"
"O23592","Infection of other part of genital tract in pregnancy, second trimester",181,"Other complications of pregnancy"
"O23593","Infection of other part of genital tract in pregnancy, third trimester",181,"Other complications of pregnancy"
"O23599","Infection of other part of genital tract in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2390","Unspecified genitourinary tract infection in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2391","Unspecified genitourinary tract infection in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2392","Unspecified genitourinary tract infection in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2393","Unspecified genitourinary tract infection in pregnancy, third trimester",181,"Other complications of pregnancy"
"O24011","Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24012","Pre-existing type 1 diabetes mellitus, in pregnancy, second trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24013","Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24019","Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2402","Pre-existing type 1 diabetes mellitus, in childbirth",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2403","Pre-existing type 1 diabetes mellitus, in the puerperium",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24111","Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24112","Pre-existing type 2 diabetes mellitus, in pregnancy, second trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24113","Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24119","Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2412","Pre-existing type 2 diabetes mellitus, in childbirth",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2413","Pre-existing type 2 diabetes mellitus, in the puerperium",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24311","Unspecified pre-existing diabetes mellitus in pregnancy, first trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24312","Unspecified pre-existing diabetes mellitus in pregnancy, second trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24313","Unspecified pre-existing diabetes mellitus in pregnancy, third trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24319","Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2432","Unspecified pre-existing diabetes mellitus in childbirth",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2433","Unspecified pre-existing diabetes mellitus in the puerperium",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24410","Gestational diabetes mellitus in pregnancy, diet controlled",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24414","Gestational diabetes mellitus in pregnancy, insulin controlled",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24415","Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24419","Gestational diabetes mellitus in pregnancy, unspecified control",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24420","Gestational diabetes mellitus in childbirth, diet controlled",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24424","Gestational diabetes mellitus in childbirth, insulin controlled",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24425","Gestational diabetes mellitus in childbirth, controlled by oral hypoglycemic drugs",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24429","Gestational diabetes mellitus in childbirth, unspecified control",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24430","Gestational diabetes mellitus in the puerperium, diet controlled",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24434","Gestational diabetes mellitus in the puerperium, insulin controlled",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24435","Gestational diabetes mellitus in puerperium, controlled by oral hypoglycemic drugs",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24439","Gestational diabetes mellitus in the puerperium, unspecified control",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24811","Other pre-existing diabetes mellitus in pregnancy, first trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24812","Other pre-existing diabetes mellitus in pregnancy, second trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24813","Other pre-existing diabetes mellitus in pregnancy, third trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24819","Other pre-existing diabetes mellitus in pregnancy, unspecified trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2482","Other pre-existing diabetes mellitus in childbirth",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2483","Other pre-existing diabetes mellitus in the puerperium",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24911","Unspecified diabetes mellitus in pregnancy, first trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24912","Unspecified diabetes mellitus in pregnancy, second trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24913","Unspecified diabetes mellitus in pregnancy, third trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O24919","Unspecified diabetes mellitus in pregnancy, unspecified trimester",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2492","Unspecified diabetes mellitus in childbirth",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2493","Unspecified diabetes mellitus in the puerperium",186,"Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium"
"O2510","Malnutrition in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2511","Malnutrition in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2512","Malnutrition in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2513","Malnutrition in pregnancy, third trimester",181,"Other complications of pregnancy"
"O252","Malnutrition in childbirth",195,"Other complications of birth; puerperium affecting management of mother"
"O253","Malnutrition in the puerperium",195,"Other complications of birth; puerperium affecting management of mother"
"O2600","Excessive weight gain in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2601","Excessive weight gain in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2602","Excessive weight gain in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2603","Excessive weight gain in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2610","Low weight gain in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2611","Low weight gain in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2612","Low weight gain in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2613","Low weight gain in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2620","Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester",181,"Other complications of pregnancy"
"O2621","Pregnancy care for patient with recurrent pregnancy loss, first trimester",181,"Other complications of pregnancy"
"O2622","Pregnancy care for patient with recurrent pregnancy loss, second trimester",181,"Other complications of pregnancy"
"O2623","Pregnancy care for patient with recurrent pregnancy loss, third trimester",181,"Other complications of pregnancy"
"O2630","Retained intrauterine contraceptive device in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2631","Retained intrauterine contraceptive device in pregnancy, first trimester",181,"Other complications of pregnancy"
"O2632","Retained intrauterine contraceptive device in pregnancy, second trimester",181,"Other complications of pregnancy"
"O2633","Retained intrauterine contraceptive device in pregnancy, third trimester",181,"Other complications of pregnancy"
"O2640","Herpes gestationis, unspecified trimester",181,"Other complications of pregnancy"
"O2641","Herpes gestationis, first trimester",181,"Other complications of pregnancy"
"O2642","Herpes gestationis, second trimester",181,"Other complications of pregnancy"
"O2643","Herpes gestationis, third trimester",181,"Other complications of pregnancy"
"O2650","Maternal hypotension syndrome, unspecified trimester",181,"Other complications of pregnancy"
"O2651","Maternal hypotension syndrome, first trimester",181,"Other complications of pregnancy"
"O2652","Maternal hypotension syndrome, second trimester",181,"Other complications of pregnancy"
"O2653","Maternal hypotension syndrome, third trimester",181,"Other complications of pregnancy"
"O26611","Liver and biliary tract disorders in pregnancy, first trimester",181,"Other complications of pregnancy"
"O26612","Liver and biliary tract disorders in pregnancy, second trimester",181,"Other complications of pregnancy"
"O26613","Liver and biliary tract disorders in pregnancy, third trimester",181,"Other complications of pregnancy"
"O26619","Liver and biliary tract disorders in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2662","Liver and biliary tract disorders in childbirth",195,"Other complications of birth; puerperium affecting management of mother"
"O2663","Liver and biliary tract disorders in the puerperium",195,"Other complications of birth; puerperium affecting management of mother"
"O26711","Subluxation of symphysis (pubis) in pregnancy, first trimester",181,"Other complications of pregnancy"
"O26712","Subluxation of symphysis (pubis) in pregnancy, second trimester",181,"Other complications of pregnancy"
"O26713","Subluxation of symphysis (pubis) in pregnancy, third trimester",181,"Other complications of pregnancy"
"O26719","Subluxation of symphysis (pubis) in pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2672","Subluxation of symphysis (pubis) in childbirth",195,"Other complications of birth; puerperium affecting management of mother"
"O2673","Subluxation of symphysis (pubis) in the puerperium",195,"Other complications of birth; puerperium affecting management of mother"
"O26811","Pregnancy related exhaustion and fatigue, first trimester",181,"Other complications of pregnancy"
"O26812","Pregnancy related exhaustion and fatigue, second trimester",181,"Other complications of pregnancy"
"O26813","Pregnancy related exhaustion and fatigue, third trimester",181,"Other complications of pregnancy"
"O26819","Pregnancy related exhaustion and fatigue, unspecified trimester",181,"Other complications of pregnancy"
"O26821","Pregnancy related peripheral neuritis, first trimester",181,"Other complications of pregnancy"
"O26822","Pregnancy related peripheral neuritis, second trimester",181,"Other complications of pregnancy"
"O26823","Pregnancy related peripheral neuritis, third trimester",181,"Other complications of pregnancy"
"O26829","Pregnancy related peripheral neuritis, unspecified trimester",181,"Other complications of pregnancy"
"O26831","Pregnancy related renal disease, first trimester",181,"Other complications of pregnancy"
"O26832","Pregnancy related renal disease, second trimester",181,"Other complications of pregnancy"
"O26833","Pregnancy related renal disease, third trimester",181,"Other complications of pregnancy"
"O26839","Pregnancy related renal disease, unspecified trimester",181,"Other complications of pregnancy"
"O26841","Uterine size-date discrepancy, first trimester",181,"Other complications of pregnancy"
"O26842","Uterine size-date discrepancy, second trimester",181,"Other complications of pregnancy"
"O26843","Uterine size-date discrepancy, third trimester",181,"Other complications of pregnancy"
"O26849","Uterine size-date discrepancy, unspecified trimester",181,"Other complications of pregnancy"
"O26851","Spotting complicating pregnancy, first trimester",181,"Other complications of pregnancy"
"O26852","Spotting complicating pregnancy, second trimester",181,"Other complications of pregnancy"
"O26853","Spotting complicating pregnancy, third trimester",181,"Other complications of pregnancy"
"O26859","Spotting complicating pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2686","Pruritic urticarial papules and plaques of pregnancy (PUPPP)",181,"Other complications of pregnancy"
"O26872","Cervical shortening, second trimester",181,"Other complications of pregnancy"
"O26873","Cervical shortening, third trimester",181,"Other complications of pregnancy"
"O26879","Cervical shortening, unspecified trimester",181,"Other complications of pregnancy"
"O26891","Other specified pregnancy related conditions, first trimester",181,"Other complications of pregnancy"
"O26892","Other specified pregnancy related conditions, second trimester",181,"Other complications of pregnancy"
"O26893","Other specified pregnancy related conditions, third trimester",181,"Other complications of pregnancy"
"O26899","Other specified pregnancy related conditions, unspecified trimester",181,"Other complications of pregnancy"
"O2690","Pregnancy related conditions, unspecified, unspecified trimester",181,"Other complications of pregnancy"
"O2691","Pregnancy related conditions, unspecified, first trimester",181,"Other complications of pregnancy"
"O2692","Pregnancy related conditions, unspecified, second trimester",181,"Other complications of pregnancy"
"O2693","Pregnancy related conditions, unspecified, third trimester",181,"Other complications of pregnancy"
"O280","Abnormal hematological finding on antenatal screening of mother",181,"Other complications of pregnancy"
"O281","Abnormal biochemical finding on antenatal screening of mother",181,"Other complications of pregnancy"
"O282","Abnormal cytological finding on antenatal screening of mother",181,"Other complications of pregnancy"
"O283","Abnormal ultrasonic finding on antenatal screening of mother",181,"Other complications of pregnancy"
"O284","Abnormal radiological finding on antenatal screening of mother",181,"Other complications of pregnancy"
"O285","Abnormal chromosomal and genetic finding on antenatal screening of mother",181,"Other complications of pregnancy"
"O288","Other abnormal findings on antenatal screening of mother",181,"Other complications of pregnancy"
"O289","Unspecified abnormal findings on antenatal screening of mother",181,"Other complications of pregnancy"
"O29011","Aspiration pneumonitis due to anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29012","Aspiration pneumonitis due to anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29013","Aspiration pneumonitis due to anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29019","Aspiration pneumonitis due to anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O29021","Pressure collapse of lung due to anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29022","Pressure collapse of lung due to anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29023","Pressure collapse of lung due to anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29029","Pressure collapse of lung due to anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O29091","Other pulmonary complications of anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29092","Other pulmonary complications of anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29093","Other pulmonary complications of anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29099","Other pulmonary complications of anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O29111","Cardiac arrest due to anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29112","Cardiac arrest due to anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29113","Cardiac arrest due to anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29119","Cardiac arrest due to anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O29121","Cardiac failure due to anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29122","Cardiac failure due to anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29123","Cardiac failure due to anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29129","Cardiac failure due to anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O29191","Other cardiac complications of anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29192","Other cardiac complications of anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29193","Other cardiac complications of anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29199","Other cardiac complications of anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O29211","Cerebral anoxia due to anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29212","Cerebral anoxia due to anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29213","Cerebral anoxia due to anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29219","Cerebral anoxia due to anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O29291","Other central nervous system complications of anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O29292","Other central nervous system complications of anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O29293","Other central nervous system complications of anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O29299","Other central nervous system complications of anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O293X1","Toxic reaction to local anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O293X2","Toxic reaction to local anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O293X3","Toxic reaction to local anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O293X9","Toxic reaction to local anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2940","Spinal and epidural anesthesia induced headache during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2941","Spinal and epidural anesthesia induced headache during pregnancy, first trimester",181,"Other complications of pregnancy"
"O2942","Spinal and epidural anesthesia induced headache during pregnancy, second trimester",181,"Other complications of pregnancy"
"O2943","Spinal and epidural anesthesia induced headache during pregnancy, third trimester",181,"Other complications of pregnancy"
"O295X1","Other complications of spinal and epidural anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O295X2","Other complications of spinal and epidural anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O295X3","Other complications of spinal and epidural anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O295X9","Other complications of spinal and epidural anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2960","Failed or difficult intubation for anesthesia during pregnancy, unspecified trimester",181,"Other complications of pregnancy"
"O2961","Failed or difficult intubation for anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O2962","Failed or difficult intubation for anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
"O2963","Failed or difficult intubation for anesthesia during pregnancy, third trimester",181,"Other complications of pregnancy"
"O298X1","Other complications of anesthesia during pregnancy, first trimester",181,"Other complications of pregnancy"
"O298X2","Other complications of anesthesia during pregnancy, second trimester",181,"Other complications of pregnancy"
