"icd_10_cm","valid_flag","short_description","long_description"
"H758",0,"Oth disrd of mid ear and mastoid in diseases classd elswhr","Other specified disorders of middle ear and mastoid in diseases classified elsewhere"
"H7580",1,"Oth disrd of mid ear and mast in dis classd elswhr, unsp ear","Other specified disorders of middle ear and mastoid in diseases classified elsewhere, unspecified ear"
"H7581",1,"Oth disrd of r mid ear and mastoid in diseases classd elswhr","Other specified disorders of right middle ear and mastoid in diseases classified elsewhere"
"H7582",1,"Oth disrd of l mid ear and mastoid in diseases classd elswhr","Other specified disorders of left middle ear and mastoid in diseases classified elsewhere"
"H7583",1,"Oth disrd of mid ear and mastoid in dis classd elswhr, bi","Other specified disorders of middle ear and mastoid in diseases classified elsewhere, bilateral"
"H80",0,"Otosclerosis","Otosclerosis"
"H800",0,"Otosclerosis involving oval window, nonobliterative","Otosclerosis involving oval window, nonobliterative"
"H8000",1,"Otosclerosis w oval window, nonobliterative, unsp ear","Otosclerosis involving oval window, nonobliterative, unspecified ear"
"H8001",1,"Otosclerosis w oval window, nonobliterative, right ear","Otosclerosis involving oval window, nonobliterative, right ear"
"H8002",1,"Otosclerosis w oval window, nonobliterative, left ear","Otosclerosis involving oval window, nonobliterative, left ear"
"H8003",1,"Otosclerosis involving oval window, nonobliterative, bi","Otosclerosis involving oval window, nonobliterative, bilateral"
"H801",0,"Otosclerosis involving oval window, obliterative","Otosclerosis involving oval window, obliterative"
"H8010",1,"Otosclerosis involving oval window, obliterative, unsp ear","Otosclerosis involving oval window, obliterative, unspecified ear"
"H8011",1,"Otosclerosis involving oval window, obliterative, right ear","Otosclerosis involving oval window, obliterative, right ear"
"H8012",1,"Otosclerosis involving oval window, obliterative, left ear","Otosclerosis involving oval window, obliterative, left ear"
"H8013",1,"Otosclerosis involving oval window, obliterative, bilateral","Otosclerosis involving oval window, obliterative, bilateral"
"H802",0,"Cochlear otosclerosis","Cochlear otosclerosis"
"H8020",1,"Cochlear otosclerosis, unspecified ear","Cochlear otosclerosis, unspecified ear"
"H8021",1,"Cochlear otosclerosis, right ear","Cochlear otosclerosis, right ear"
"H8022",1,"Cochlear otosclerosis, left ear","Cochlear otosclerosis, left ear"
"H8023",1,"Cochlear otosclerosis, bilateral","Cochlear otosclerosis, bilateral"
"H808",0,"Other otosclerosis","Other otosclerosis"
"H8080",1,"Other otosclerosis, unspecified ear","Other otosclerosis, unspecified ear"
"H8081",1,"Other otosclerosis, right ear","Other otosclerosis, right ear"
"H8082",1,"Other otosclerosis, left ear","Other otosclerosis, left ear"
"H8083",1,"Other otosclerosis, bilateral","Other otosclerosis, bilateral"
"H809",0,"Unspecified otosclerosis","Unspecified otosclerosis"
"H8090",1,"Unspecified otosclerosis, unspecified ear","Unspecified otosclerosis, unspecified ear"
"H8091",1,"Unspecified otosclerosis, right ear","Unspecified otosclerosis, right ear"
"H8092",1,"Unspecified otosclerosis, left ear","Unspecified otosclerosis, left ear"
"H8093",1,"Unspecified otosclerosis, bilateral","Unspecified otosclerosis, bilateral"
"H81",0,"Disorders of vestibular function","Disorders of vestibular function"
"H810",0,"Meniere's disease","Meniere's disease"
"H8101",1,"Meniere's disease, right ear","Meniere's disease, right ear"
"H8102",1,"Meniere's disease, left ear","Meniere's disease, left ear"
"H8103",1,"Meniere's disease, bilateral","Meniere's disease, bilateral"
"H8109",1,"Meniere's disease, unspecified ear","Meniere's disease, unspecified ear"
"H811",0,"Benign paroxysmal vertigo","Benign paroxysmal vertigo"
"H8110",1,"Benign paroxysmal vertigo, unspecified ear","Benign paroxysmal vertigo, unspecified ear"
"H8111",1,"Benign paroxysmal vertigo, right ear","Benign paroxysmal vertigo, right ear"
"H8112",1,"Benign paroxysmal vertigo, left ear","Benign paroxysmal vertigo, left ear"
"H8113",1,"Benign paroxysmal vertigo, bilateral","Benign paroxysmal vertigo, bilateral"
"H812",0,"Vestibular neuronitis","Vestibular neuronitis"
"H8120",1,"Vestibular neuronitis, unspecified ear","Vestibular neuronitis, unspecified ear"
"H8121",1,"Vestibular neuronitis, right ear","Vestibular neuronitis, right ear"
"H8122",1,"Vestibular neuronitis, left ear","Vestibular neuronitis, left ear"
"H8123",1,"Vestibular neuronitis, bilateral","Vestibular neuronitis, bilateral"
"H813",0,"Other peripheral vertigo","Other peripheral vertigo"
"H8131",0,"Aural vertigo","Aural vertigo"
"H81311",1,"Aural vertigo, right ear","Aural vertigo, right ear"
"H81312",1,"Aural vertigo, left ear","Aural vertigo, left ear"
"H81313",1,"Aural vertigo, bilateral","Aural vertigo, bilateral"
"H81319",1,"Aural vertigo, unspecified ear","Aural vertigo, unspecified ear"
"H8139",0,"Other peripheral vertigo","Other peripheral vertigo"
"H81391",1,"Other peripheral vertigo, right ear","Other peripheral vertigo, right ear"
"H81392",1,"Other peripheral vertigo, left ear","Other peripheral vertigo, left ear"
"H81393",1,"Other peripheral vertigo, bilateral","Other peripheral vertigo, bilateral"
"H81399",1,"Other peripheral vertigo, unspecified ear","Other peripheral vertigo, unspecified ear"
"H814",1,"Vertigo of central origin","Vertigo of central origin"
"H818",0,"Other disorders of vestibular function","Other disorders of vestibular function"
"H818X",0,"Other disorders of vestibular function","Other disorders of vestibular function"
"H818X1",1,"Other disorders of vestibular function, right ear","Other disorders of vestibular function, right ear"
"H818X2",1,"Other disorders of vestibular function, left ear","Other disorders of vestibular function, left ear"
