"icd_10_cm","valid_flag","short_description","long_description"
"A00",0,"Cholera","Cholera"
"A000",1,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae"
"A001",1,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor"
"A009",1,"Cholera, unspecified","Cholera, unspecified"
"A01",0,"Typhoid and paratyphoid fevers","Typhoid and paratyphoid fevers"
"A010",0,"Typhoid fever","Typhoid fever"
"A0100",1,"Typhoid fever, unspecified","Typhoid fever, unspecified"
"A0101",1,"Typhoid meningitis","Typhoid meningitis"
"A0102",1,"Typhoid fever with heart involvement","Typhoid fever with heart involvement"
"A0103",1,"Typhoid pneumonia","Typhoid pneumonia"
"A0104",1,"Typhoid arthritis","Typhoid arthritis"
"A0105",1,"Typhoid osteomyelitis","Typhoid osteomyelitis"
"A0109",1,"Typhoid fever with other complications","Typhoid fever with other complications"
"A011",1,"Paratyphoid fever A","Paratyphoid fever A"
"A012",1,"Paratyphoid fever B","Paratyphoid fever B"
"A013",1,"Paratyphoid fever C","Paratyphoid fever C"
"A014",1,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
"A02",0,"Other salmonella infections","Other salmonella infections"
"A020",1,"Salmonella enteritis","Salmonella enteritis"
"A021",1,"Salmonella sepsis","Salmonella sepsis"
"A022",0,"Localized salmonella infections","Localized salmonella infections"
"A0220",1,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified"
"A0221",1,"Salmonella meningitis","Salmonella meningitis"
"A0222",1,"Salmonella pneumonia","Salmonella pneumonia"
"A0223",1,"Salmonella arthritis","Salmonella arthritis"
"A0224",1,"Salmonella osteomyelitis","Salmonella osteomyelitis"
"A0225",1,"Salmonella pyelonephritis","Salmonella pyelonephritis"
"A0229",1,"Salmonella with other localized infection","Salmonella with other localized infection"
"A028",1,"Other specified salmonella infections","Other specified salmonella infections"
"A029",1,"Salmonella infection, unspecified","Salmonella infection, unspecified"
"A03",0,"Shigellosis","Shigellosis"
"A030",1,"Shigellosis due to Shigella dysenteriae","Shigellosis due to Shigella dysenteriae"
"A031",1,"Shigellosis due to Shigella flexneri","Shigellosis due to Shigella flexneri"
"A032",1,"Shigellosis due to Shigella boydii","Shigellosis due to Shigella boydii"
"A033",1,"Shigellosis due to Shigella sonnei","Shigellosis due to Shigella sonnei"
"A038",1,"Other shigellosis","Other shigellosis"
"A039",1,"Shigellosis, unspecified","Shigellosis, unspecified"
"A04",0,"Other bacterial intestinal infections","Other bacterial intestinal infections"
"A040",1,"Enteropathogenic Escherichia coli infection","Enteropathogenic Escherichia coli infection"
"A041",1,"Enterotoxigenic Escherichia coli infection","Enterotoxigenic Escherichia coli infection"
"A042",1,"Enteroinvasive Escherichia coli infection","Enteroinvasive Escherichia coli infection"
"A043",1,"Enterohemorrhagic Escherichia coli infection","Enterohemorrhagic Escherichia coli infection"
"A044",1,"Other intestinal Escherichia coli infections","Other intestinal Escherichia coli infections"
"A045",1,"Campylobacter enteritis","Campylobacter enteritis"
"A046",1,"Enteritis due to Yersinia enterocolitica","Enteritis due to Yersinia enterocolitica"
"A047",0,"Enterocolitis due to Clostridium difficile","Enterocolitis due to Clostridium difficile"
"A0471",1,"Enterocolitis due to Clostridium difficile, recurrent","Enterocolitis due to Clostridium difficile, recurrent"
"A0472",1,"Enterocolitis d/t Clostridium difficile, not spcf as recur","Enterocolitis due to Clostridium difficile, not specified as recurrent"
"A048",1,"Other specified bacterial intestinal infections","Other specified bacterial intestinal infections"
"A049",1,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified"
"A05",0,"Oth bacterial foodborne intoxications, NEC","Other bacterial foodborne intoxications, not elsewhere classified"
"A050",1,"Foodborne staphylococcal intoxication","Foodborne staphylococcal intoxication"
"A051",1,"Botulism food poisoning","Botulism food poisoning"
"A052",1,"Foodborne Clostridium perfringens intoxication","Foodborne Clostridium perfringens [Clostridium welchii] intoxication"
"A053",1,"Foodborne Vibrio parahaemolyticus intoxication","Foodborne Vibrio parahaemolyticus intoxication"
"A054",1,"Foodborne Bacillus cereus intoxication","Foodborne Bacillus cereus intoxication"
"A055",1,"Foodborne Vibrio vulnificus intoxication","Foodborne Vibrio vulnificus intoxication"
"A058",1,"Other specified bacterial foodborne intoxications","Other specified bacterial foodborne intoxications"
"A059",1,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified"
"A06",0,"Amebiasis","Amebiasis"
"A060",1,"Acute amebic dysentery","Acute amebic dysentery"
"A061",1,"Chronic intestinal amebiasis","Chronic intestinal amebiasis"
"A062",1,"Amebic nondysenteric colitis","Amebic nondysenteric colitis"
"A063",1,"Ameboma of intestine","Ameboma of intestine"
"A064",1,"Amebic liver abscess","Amebic liver abscess"
"A065",1,"Amebic lung abscess","Amebic lung abscess"
"A066",1,"Amebic brain abscess","Amebic brain abscess"
"A067",1,"Cutaneous amebiasis","Cutaneous amebiasis"
"A068",0,"Amebic infection of other sites","Amebic infection of other sites"
"A0681",1,"Amebic cystitis","Amebic cystitis"
"A0682",1,"Other amebic genitourinary infections","Other amebic genitourinary infections"
"A0689",1,"Other amebic infections","Other amebic infections"
"A069",1,"Amebiasis, unspecified","Amebiasis, unspecified"
"A07",0,"Other protozoal intestinal diseases","Other protozoal intestinal diseases"
"A070",1,"Balantidiasis","Balantidiasis"
"A071",1,"Giardiasis [lambliasis]","Giardiasis [lambliasis]"
"A072",1,"Cryptosporidiosis","Cryptosporidiosis"
"A073",1,"Isosporiasis","Isosporiasis"
"A074",1,"Cyclosporiasis","Cyclosporiasis"
"A078",1,"Other specified protozoal intestinal diseases","Other specified protozoal intestinal diseases"
"A079",1,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified"
"A08",0,"Viral and other specified intestinal infections","Viral and other specified intestinal infections"
"A080",1,"Rotaviral enteritis","Rotaviral enteritis"
"A081",0,"Acute gastrent d/t Norwalk agent and oth small round viruses","Acute gastroenteropathy due to Norwalk agent and other small round viruses"
"A0811",1,"Acute gastroenteropathy due to Norwalk agent","Acute gastroenteropathy due to Norwalk agent"
"A0819",1,"Acute gastroenteropathy due to other small round viruses","Acute gastroenteropathy due to other small round viruses"
"A082",1,"Adenoviral enteritis","Adenoviral enteritis"
"A083",0,"Other viral enteritis","Other viral enteritis"
"A0831",1,"Calicivirus enteritis","Calicivirus enteritis"
"A0832",1,"Astrovirus enteritis","Astrovirus enteritis"
"A0839",1,"Other viral enteritis","Other viral enteritis"
"A084",1,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified"
"A088",1,"Other specified intestinal infections","Other specified intestinal infections"
"A09",1,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
"A15",0,"Respiratory tuberculosis","Respiratory tuberculosis"
"A150",1,"Tuberculosis of lung","Tuberculosis of lung"
"A154",1,"Tuberculosis of intrathoracic lymph nodes","Tuberculosis of intrathoracic lymph nodes"
"A155",1,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of larynx, trachea and bronchus"
"A156",1,"Tuberculous pleurisy","Tuberculous pleurisy"
"A157",1,"Primary respiratory tuberculosis","Primary respiratory tuberculosis"
"A158",1,"Other respiratory tuberculosis","Other respiratory tuberculosis"
"A159",1,"Respiratory tuberculosis unspecified","Respiratory tuberculosis unspecified"
"A17",0,"Tuberculosis of nervous system","Tuberculosis of nervous system"
"A170",1,"Tuberculous meningitis","Tuberculous meningitis"
"A171",1,"Meningeal tuberculoma","Meningeal tuberculoma"
"A178",0,"Other tuberculosis of nervous system","Other tuberculosis of nervous system"
"A1781",1,"Tuberculoma of brain and spinal cord","Tuberculoma of brain and spinal cord"
"A1782",1,"Tuberculous meningoencephalitis","Tuberculous meningoencephalitis"
"A1783",1,"Tuberculous neuritis","Tuberculous neuritis"
"A1789",1,"Other tuberculosis of nervous system","Other tuberculosis of nervous system"
"A179",1,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified"
"A18",0,"Tuberculosis of other organs","Tuberculosis of other organs"
"A180",0,"Tuberculosis of bones and joints","Tuberculosis of bones and joints"
"A1801",1,"Tuberculosis of spine","Tuberculosis of spine"
"A1802",1,"Tuberculous arthritis of other joints","Tuberculous arthritis of other joints"
"A1803",1,"Tuberculosis of other bones","Tuberculosis of other bones"
"A1809",1,"Other musculoskeletal tuberculosis","Other musculoskeletal tuberculosis"
"A181",0,"Tuberculosis of genitourinary system","Tuberculosis of genitourinary system"
"A1810",1,"Tuberculosis of genitourinary system, unspecified","Tuberculosis of genitourinary system, unspecified"
"A1811",1,"Tuberculosis of kidney and ureter","Tuberculosis of kidney and ureter"
"A1812",1,"Tuberculosis of bladder","Tuberculosis of bladder"
"A1813",1,"Tuberculosis of other urinary organs","Tuberculosis of other urinary organs"
"A1814",1,"Tuberculosis of prostate","Tuberculosis of prostate"
"A1815",1,"Tuberculosis of other male genital organs","Tuberculosis of other male genital organs"
"A1816",1,"Tuberculosis of cervix","Tuberculosis of cervix"
"A1817",1,"Tuberculous female pelvic inflammatory disease","Tuberculous female pelvic inflammatory disease"
"A1818",1,"Tuberculosis of other female genital organs","Tuberculosis of other female genital organs"
"A182",1,"Tuberculous peripheral lymphadenopathy","Tuberculous peripheral lymphadenopathy"
"A183",0,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands"
"A1831",1,"Tuberculous peritonitis","Tuberculous peritonitis"
"A1832",1,"Tuberculous enteritis","Tuberculous enteritis"
"A1839",1,"Retroperitoneal tuberculosis","Retroperitoneal tuberculosis"
"A184",1,"Tuberculosis of skin and subcutaneous tissue","Tuberculosis of skin and subcutaneous tissue"
"A185",0,"Tuberculosis of eye","Tuberculosis of eye"
"A1850",1,"Tuberculosis of eye, unspecified","Tuberculosis of eye, unspecified"
"A1851",1,"Tuberculous episcleritis","Tuberculous episcleritis"
"A1852",1,"Tuberculous keratitis","Tuberculous keratitis"
"A1853",1,"Tuberculous chorioretinitis","Tuberculous chorioretinitis"
"A1854",1,"Tuberculous iridocyclitis","Tuberculous iridocyclitis"
"A1859",1,"Other tuberculosis of eye","Other tuberculosis of eye"
"A186",1,"Tuberculosis of (inner) (middle) ear","Tuberculosis of (inner) (middle) ear"
"A187",1,"Tuberculosis of adrenal glands","Tuberculosis of adrenal glands"
"A188",0,"Tuberculosis of other specified organs","Tuberculosis of other specified organs"
"A1881",1,"Tuberculosis of thyroid gland","Tuberculosis of thyroid gland"
"A1882",1,"Tuberculosis of other endocrine glands","Tuberculosis of other endocrine glands"
"A1883",1,"Tuberculosis of digestive tract organs, NEC","Tuberculosis of digestive tract organs, not elsewhere classified"
"A1884",1,"Tuberculosis of heart","Tuberculosis of heart"
"A1885",1,"Tuberculosis of spleen","Tuberculosis of spleen"
"A1889",1,"Tuberculosis of other sites","Tuberculosis of other sites"
"A19",0,"Miliary tuberculosis","Miliary tuberculosis"
"A190",1,"Acute miliary tuberculosis of a single specified site","Acute miliary tuberculosis of a single specified site"
"A191",1,"Acute miliary tuberculosis of multiple sites","Acute miliary tuberculosis of multiple sites"
"A192",1,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified"
"A198",1,"Other miliary tuberculosis","Other miliary tuberculosis"
"A199",1,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified"
"A20",0,"Plague","Plague"
"A200",1,"Bubonic plague","Bubonic plague"
"A201",1,"Cellulocutaneous plague","Cellulocutaneous plague"
"A202",1,"Pneumonic plague","Pneumonic plague"
"A203",1,"Plague meningitis","Plague meningitis"
"A207",1,"Septicemic plague","Septicemic plague"
"A208",1,"Other forms of plague","Other forms of plague"
"A209",1,"Plague, unspecified","Plague, unspecified"
"A21",0,"Tularemia","Tularemia"
"A210",1,"Ulceroglandular tularemia","Ulceroglandular tularemia"
"A211",1,"Oculoglandular tularemia","Oculoglandular tularemia"
"A212",1,"Pulmonary tularemia","Pulmonary tularemia"
"A213",1,"Gastrointestinal tularemia","Gastrointestinal tularemia"
"A217",1,"Generalized tularemia","Generalized tularemia"
"A218",1,"Other forms of tularemia","Other forms of tularemia"
"A219",1,"Tularemia, unspecified","Tularemia, unspecified"
"A22",0,"Anthrax","Anthrax"
"A220",1,"Cutaneous anthrax","Cutaneous anthrax"
"A221",1,"Pulmonary anthrax","Pulmonary anthrax"
"A222",1,"Gastrointestinal anthrax","Gastrointestinal anthrax"
"A227",1,"Anthrax sepsis","Anthrax sepsis"
"A228",1,"Other forms of anthrax","Other forms of anthrax"
"A229",1,"Anthrax, unspecified","Anthrax, unspecified"
"A23",0,"Brucellosis","Brucellosis"
"A230",1,"Brucellosis due to Brucella melitensis","Brucellosis due to Brucella melitensis"
"A231",1,"Brucellosis due to Brucella abortus","Brucellosis due to Brucella abortus"
"A232",1,"Brucellosis due to Brucella suis","Brucellosis due to Brucella suis"
"A233",1,"Brucellosis due to Brucella canis","Brucellosis due to Brucella canis"
"A238",1,"Other brucellosis","Other brucellosis"
"A239",1,"Brucellosis, unspecified","Brucellosis, unspecified"
"A24",0,"Glanders and melioidosis","Glanders and melioidosis"
"A240",1,"Glanders","Glanders"
"A241",1,"Acute and fulminating melioidosis","Acute and fulminating melioidosis"
"A242",1,"Subacute and chronic melioidosis","Subacute and chronic melioidosis"
"A243",1,"Other melioidosis","Other melioidosis"
"A249",1,"Melioidosis, unspecified","Melioidosis, unspecified"
"A25",0,"Rat-bite fevers","Rat-bite fevers"
"A250",1,"Spirillosis","Spirillosis"
"A251",1,"Streptobacillosis","Streptobacillosis"
"A259",1,"Rat-bite fever, unspecified","Rat-bite fever, unspecified"
"A26",0,"Erysipeloid","Erysipeloid"
"A260",1,"Cutaneous erysipeloid","Cutaneous erysipeloid"
"A267",1,"Erysipelothrix sepsis","Erysipelothrix sepsis"
"A268",1,"Other forms of erysipeloid","Other forms of erysipeloid"
"A269",1,"Erysipeloid, unspecified","Erysipeloid, unspecified"
"A27",0,"Leptospirosis","Leptospirosis"
"A270",1,"Leptospirosis icterohemorrhagica","Leptospirosis icterohemorrhagica"
"A278",0,"Other forms of leptospirosis","Other forms of leptospirosis"
"A2781",1,"Aseptic meningitis in leptospirosis","Aseptic meningitis in leptospirosis"
"A2789",1,"Other forms of leptospirosis","Other forms of leptospirosis"
"A279",1,"Leptospirosis, unspecified","Leptospirosis, unspecified"
"A28",0,"Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified"
"A280",1,"Pasteurellosis","Pasteurellosis"
"A281",1,"Cat-scratch disease","Cat-scratch disease"
"A282",1,"Extraintestinal yersiniosis","Extraintestinal yersiniosis"
"A288",1,"Oth zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified"
"A289",1,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified"
"A30",0,"Leprosy [Hansen's disease]","Leprosy [Hansen's disease]"
"A300",1,"Indeterminate leprosy","Indeterminate leprosy"
"A301",1,"Tuberculoid leprosy","Tuberculoid leprosy"
"A302",1,"Borderline tuberculoid leprosy","Borderline tuberculoid leprosy"
"A303",1,"Borderline leprosy","Borderline leprosy"
"A304",1,"Borderline lepromatous leprosy","Borderline lepromatous leprosy"
"A305",1,"Lepromatous leprosy","Lepromatous leprosy"
"A308",1,"Other forms of leprosy","Other forms of leprosy"
"A309",1,"Leprosy, unspecified","Leprosy, unspecified"
"A31",0,"Infection due to other mycobacteria","Infection due to other mycobacteria"
"A310",1,"Pulmonary mycobacterial infection","Pulmonary mycobacterial infection"
"A311",1,"Cutaneous mycobacterial infection","Cutaneous mycobacterial infection"
"A312",1,"Dissem mycobacterium avium-intracellulare complex (DMAC)","Disseminated mycobacterium avium-intracellulare complex (DMAC)"
"A318",1,"Other mycobacterial infections","Other mycobacterial infections"
"A319",1,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified"
"A32",0,"Listeriosis","Listeriosis"
"A320",1,"Cutaneous listeriosis","Cutaneous listeriosis"
"A321",0,"Listerial meningitis and meningoencephalitis","Listerial meningitis and meningoencephalitis"
"A3211",1,"Listerial meningitis","Listerial meningitis"
"A3212",1,"Listerial meningoencephalitis","Listerial meningoencephalitis"
"A327",1,"Listerial sepsis","Listerial sepsis"
"A328",0,"Other forms of listeriosis","Other forms of listeriosis"
"A3281",1,"Oculoglandular listeriosis","Oculoglandular listeriosis"
"A3282",1,"Listerial endocarditis","Listerial endocarditis"
"A3289",1,"Other forms of listeriosis","Other forms of listeriosis"
"A329",1,"Listeriosis, unspecified","Listeriosis, unspecified"
"A33",1,"Tetanus neonatorum","Tetanus neonatorum"
"A34",1,"Obstetrical tetanus","Obstetrical tetanus"
"A35",1,"Other tetanus","Other tetanus"
"A36",0,"Diphtheria","Diphtheria"
"A360",1,"Pharyngeal diphtheria","Pharyngeal diphtheria"
"A361",1,"Nasopharyngeal diphtheria","Nasopharyngeal diphtheria"
"A362",1,"Laryngeal diphtheria","Laryngeal diphtheria"
"A363",1,"Cutaneous diphtheria","Cutaneous diphtheria"
"A368",0,"Other diphtheria","Other diphtheria"
"A3681",1,"Diphtheritic cardiomyopathy","Diphtheritic cardiomyopathy"
"A3682",1,"Diphtheritic radiculomyelitis","Diphtheritic radiculomyelitis"
"A3683",1,"Diphtheritic polyneuritis","Diphtheritic polyneuritis"
"A3684",1,"Diphtheritic tubulo-interstitial nephropathy","Diphtheritic tubulo-interstitial nephropathy"
"A3685",1,"Diphtheritic cystitis","Diphtheritic cystitis"
"A3686",1,"Diphtheritic conjunctivitis","Diphtheritic conjunctivitis"
"A3689",1,"Other diphtheritic complications","Other diphtheritic complications"
"A369",1,"Diphtheria, unspecified","Diphtheria, unspecified"
"A37",0,"Whooping cough","Whooping cough"
"A370",0,"Whooping cough due to Bordetella pertussis","Whooping cough due to Bordetella pertussis"
"A3700",1,"Whooping cough due to Bordetella pertussis without pneumonia","Whooping cough due to Bordetella pertussis without pneumonia"
"A3701",1,"Whooping cough due to Bordetella pertussis with pneumonia","Whooping cough due to Bordetella pertussis with pneumonia"
"A371",0,"Whooping cough due to Bordetella parapertussis","Whooping cough due to Bordetella parapertussis"
"A3710",1,"Whooping cough due to Bordetella parapertussis w/o pneumonia","Whooping cough due to Bordetella parapertussis without pneumonia"
"A3711",1,"Whooping cough due to Bordetella parapertussis w pneumonia","Whooping cough due to Bordetella parapertussis with pneumonia"
"A378",0,"Whooping cough due to other Bordetella species","Whooping cough due to other Bordetella species"
"A3780",1,"Whooping cough due to other Bordetella species w/o pneumonia","Whooping cough due to other Bordetella species without pneumonia"
"A3781",1,"Whooping cough due to oth Bordetella species with pneumonia","Whooping cough due to other Bordetella species with pneumonia"
"A379",0,"Whooping cough, unspecified species","Whooping cough, unspecified species"
"A3790",1,"Whooping cough, unspecified species without pneumonia","Whooping cough, unspecified species without pneumonia"
"A3791",1,"Whooping cough, unspecified species with pneumonia","Whooping cough, unspecified species with pneumonia"
"A38",0,"Scarlet fever","Scarlet fever"
"A380",1,"Scarlet fever with otitis media","Scarlet fever with otitis media"
"A381",1,"Scarlet fever with myocarditis","Scarlet fever with myocarditis"
"A388",1,"Scarlet fever with other complications","Scarlet fever with other complications"
"A389",1,"Scarlet fever, uncomplicated","Scarlet fever, uncomplicated"
"A39",0,"Meningococcal infection","Meningococcal infection"
"A390",1,"Meningococcal meningitis","Meningococcal meningitis"
"A391",1,"Waterhouse-Friderichsen syndrome","Waterhouse-Friderichsen syndrome"
"A392",1,"Acute meningococcemia","Acute meningococcemia"
"A393",1,"Chronic meningococcemia","Chronic meningococcemia"
"A394",1,"Meningococcemia, unspecified","Meningococcemia, unspecified"
"A395",0,"Meningococcal heart disease","Meningococcal heart disease"
"A3950",1,"Meningococcal carditis, unspecified","Meningococcal carditis, unspecified"
"A3951",1,"Meningococcal endocarditis","Meningococcal endocarditis"
"A3952",1,"Meningococcal myocarditis","Meningococcal myocarditis"
"A3953",1,"Meningococcal pericarditis","Meningococcal pericarditis"
"A398",0,"Other meningococcal infections","Other meningococcal infections"
"A3981",1,"Meningococcal encephalitis","Meningococcal encephalitis"
"A3982",1,"Meningococcal retrobulbar neuritis","Meningococcal retrobulbar neuritis"
"A3983",1,"Meningococcal arthritis","Meningococcal arthritis"
"A3984",1,"Postmeningococcal arthritis","Postmeningococcal arthritis"
"A3989",1,"Other meningococcal infections","Other meningococcal infections"
"A399",1,"Meningococcal infection, unspecified","Meningococcal infection, unspecified"
"A40",0,"Streptococcal sepsis","Streptococcal sepsis"
"A400",1,"Sepsis due to streptococcus, group A","Sepsis due to streptococcus, group A"
"A401",1,"Sepsis due to streptococcus, group B","Sepsis due to streptococcus, group B"
"A403",1,"Sepsis due to Streptococcus pneumoniae","Sepsis due to Streptococcus pneumoniae"
"A408",1,"Other streptococcal sepsis","Other streptococcal sepsis"
"A409",1,"Streptococcal sepsis, unspecified","Streptococcal sepsis, unspecified"
"A41",0,"Other sepsis","Other sepsis"
"A410",0,"Sepsis due to Staphylococcus aureus","Sepsis due to Staphylococcus aureus"
"A4101",1,"Sepsis due to Methicillin susceptible Staphylococcus aureus","Sepsis due to Methicillin susceptible Staphylococcus aureus"
"A4102",1,"Sepsis due to Methicillin resistant Staphylococcus aureus","Sepsis due to Methicillin resistant Staphylococcus aureus"
"A411",1,"Sepsis due to other specified staphylococcus","Sepsis due to other specified staphylococcus"
"A412",1,"Sepsis due to unspecified staphylococcus","Sepsis due to unspecified staphylococcus"
"A413",1,"Sepsis due to Hemophilus influenzae","Sepsis due to Hemophilus influenzae"
"A414",1,"Sepsis due to anaerobes","Sepsis due to anaerobes"
"A415",0,"Sepsis due to other Gram-negative organisms","Sepsis due to other Gram-negative organisms"
"A4150",1,"Gram-negative sepsis, unspecified","Gram-negative sepsis, unspecified"
"A4151",1,"Sepsis due to Escherichia coli [E. coli]","Sepsis due to Escherichia coli [E. coli]"
"A4152",1,"Sepsis due to Pseudomonas","Sepsis due to Pseudomonas"
"A4153",1,"Sepsis due to Serratia","Sepsis due to Serratia"
"A4159",1,"Other Gram-negative sepsis","Other Gram-negative sepsis"
"A418",0,"Other specified sepsis","Other specified sepsis"
"A4181",1,"Sepsis due to Enterococcus","Sepsis due to Enterococcus"
"A4189",1,"Other specified sepsis","Other specified sepsis"
"A419",1,"Sepsis, unspecified organism","Sepsis, unspecified organism"
"A42",0,"Actinomycosis","Actinomycosis"
"A420",1,"Pulmonary actinomycosis","Pulmonary actinomycosis"
"A421",1,"Abdominal actinomycosis","Abdominal actinomycosis"
"A422",1,"Cervicofacial actinomycosis","Cervicofacial actinomycosis"
"A427",1,"Actinomycotic sepsis","Actinomycotic sepsis"
"A428",0,"Other forms of actinomycosis","Other forms of actinomycosis"
"A4281",1,"Actinomycotic meningitis","Actinomycotic meningitis"
"A4282",1,"Actinomycotic encephalitis","Actinomycotic encephalitis"
"A4289",1,"Other forms of actinomycosis","Other forms of actinomycosis"
"A429",1,"Actinomycosis, unspecified","Actinomycosis, unspecified"
"A43",0,"Nocardiosis","Nocardiosis"
"A430",1,"Pulmonary nocardiosis","Pulmonary nocardiosis"
"A431",1,"Cutaneous nocardiosis","Cutaneous nocardiosis"
"A438",1,"Other forms of nocardiosis","Other forms of nocardiosis"
"A439",1,"Nocardiosis, unspecified","Nocardiosis, unspecified"
"A44",0,"Bartonellosis","Bartonellosis"
"A440",1,"Systemic bartonellosis","Systemic bartonellosis"
"A441",1,"Cutaneous and mucocutaneous bartonellosis","Cutaneous and mucocutaneous bartonellosis"
"A448",1,"Other forms of bartonellosis","Other forms of bartonellosis"
"A449",1,"Bartonellosis, unspecified","Bartonellosis, unspecified"
"A46",1,"Erysipelas","Erysipelas"
"A48",0,"Other bacterial diseases, not elsewhere classified","Other bacterial diseases, not elsewhere classified"
"A480",1,"Gas gangrene","Gas gangrene"
"A481",1,"Legionnaires' disease","Legionnaires' disease"
"A482",1,"Nonpneumonic Legionnaires' disease [Pontiac fever]","Nonpneumonic Legionnaires' disease [Pontiac fever]"
"A483",1,"Toxic shock syndrome","Toxic shock syndrome"
"A484",1,"Brazilian purpuric fever","Brazilian purpuric fever"
"A485",0,"Other specified botulism","Other specified botulism"
"A4851",1,"Infant botulism","Infant botulism"
"A4852",1,"Wound botulism","Wound botulism"
"A488",1,"Other specified bacterial diseases","Other specified bacterial diseases"
"A49",0,"Bacterial infection of unspecified site","Bacterial infection of unspecified site"
"A490",0,"Staphylococcal infection, unspecified site","Staphylococcal infection, unspecified site"
"A4901",1,"Methicillin suscep staph infection, unsp site","Methicillin susceptible Staphylococcus aureus infection, unspecified site"
"A4902",1,"Methicillin resis staph infection, unsp site","Methicillin resistant Staphylococcus aureus infection, unspecified site"
"A491",1,"Streptococcal infection, unspecified site","Streptococcal infection, unspecified site"
"A492",1,"Hemophilus influenzae infection, unspecified site","Hemophilus influenzae infection, unspecified site"
"A493",1,"Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site"
"A498",1,"Other bacterial infections of unspecified site","Other bacterial infections of unspecified site"
"A499",1,"Bacterial infection, unspecified","Bacterial infection, unspecified"
"A50",0,"Congenital syphilis","Congenital syphilis"
"A500",0,"Early congenital syphilis, symptomatic","Early congenital syphilis, symptomatic"
"A5001",1,"Early congenital syphilitic oculopathy","Early congenital syphilitic oculopathy"
"A5002",1,"Early congenital syphilitic osteochondropathy","Early congenital syphilitic osteochondropathy"
"A5003",1,"Early congenital syphilitic pharyngitis","Early congenital syphilitic pharyngitis"
"A5004",1,"Early congenital syphilitic pneumonia","Early congenital syphilitic pneumonia"
"A5005",1,"Early congenital syphilitic rhinitis","Early congenital syphilitic rhinitis"
"A5006",1,"Early cutaneous congenital syphilis","Early cutaneous congenital syphilis"
"A5007",1,"Early mucocutaneous congenital syphilis","Early mucocutaneous congenital syphilis"
"A5008",1,"Early visceral congenital syphilis","Early visceral congenital syphilis"
"A5009",1,"Other early congenital syphilis, symptomatic","Other early congenital syphilis, symptomatic"
"A501",1,"Early congenital syphilis, latent","Early congenital syphilis, latent"
"A502",1,"Early congenital syphilis, unspecified","Early congenital syphilis, unspecified"
"A503",0,"Late congenital syphilitic oculopathy","Late congenital syphilitic oculopathy"
"A5030",1,"Late congenital syphilitic oculopathy, unspecified","Late congenital syphilitic oculopathy, unspecified"
"A5031",1,"Late congenital syphilitic interstitial keratitis","Late congenital syphilitic interstitial keratitis"
"A5032",1,"Late congenital syphilitic chorioretinitis","Late congenital syphilitic chorioretinitis"
"A5039",1,"Other late congenital syphilitic oculopathy","Other late congenital syphilitic oculopathy"
"A504",0,"Late congenital neurosyphilis [juvenile neurosyphilis]","Late congenital neurosyphilis [juvenile neurosyphilis]"
"A5040",1,"Late congenital neurosyphilis, unspecified","Late congenital neurosyphilis, unspecified"
"A5041",1,"Late congenital syphilitic meningitis","Late congenital syphilitic meningitis"
"A5042",1,"Late congenital syphilitic encephalitis","Late congenital syphilitic encephalitis"
"A5043",1,"Late congenital syphilitic polyneuropathy","Late congenital syphilitic polyneuropathy"
"A5044",1,"Late congenital syphilitic optic nerve atrophy","Late congenital syphilitic optic nerve atrophy"
"A5045",1,"Juvenile general paresis","Juvenile general paresis"
"A5049",1,"Other late congenital neurosyphilis","Other late congenital neurosyphilis"
"A505",0,"Other late congenital syphilis, symptomatic","Other late congenital syphilis, symptomatic"
"A5051",1,"Clutton's joints","Clutton's joints"
"A5052",1,"Hutchinson's teeth","Hutchinson's teeth"
"A5053",1,"Hutchinson's triad","Hutchinson's triad"
"A5054",1,"Late congenital cardiovascular syphilis","Late congenital cardiovascular syphilis"
"A5055",1,"Late congenital syphilitic arthropathy","Late congenital syphilitic arthropathy"
"A5056",1,"Late congenital syphilitic osteochondropathy","Late congenital syphilitic osteochondropathy"
